,society,price,price_per_sq.ft,bedRoom,bathroom,balcony,floorNum,facing,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
0,maa bhagwati residency,0.45,5000,2,2,1,4.0,West,flat,sector 7,1287.0,900.0,1,0,0,0,0,relatively new,15,1,27,450.0
1,Apna Enclave,0.5,7692,2,2,1,1.0,West,flat,sector 3,929.5,650.0,1,0,0,0,0,,21,2,34,325.0
2,Tulsiani Easy in Homes,0.4,6722,2,2,3,12.0,,flat,sohna,850.8499999999999,595.0,1,0,0,0,0,New Property,41,1,25,297.5
3,Smart World Orchard,1.47,12250,2,2,2,2.0,,flat,sector 61,1716.0,1200.0,0,1,0,0,0,relatively new,69,1,51,600.0
4,Parkwood Westend,0.7,5204,2,2,3,5.0,,flat,sector 92,1346.3449999999998,941.4999999999999,0,1,0,0,0,Under Construction,0,1,5,470.74999999999994
5,The Cocoon,2.0,13333,3,3,3,5.0,,flat,dwarka expressway,1501.5,1050.0,1,0,0,0,0,New Property,0,1,16,350.0
6,ATS Triumph,1.8,7860,3,4,3,14.0,,flat,sector 104,3274.7,2290.0,1,0,0,0,0,New Property,62,1,52,763.3333333333334
7,Raheja Revanta,4.75,16885,3,3,2,31.0,,flat,sector 78,3218.072,2250.4,0,0,1,0,0,relatively new,69,1,33,750.1333333333333
8,Signature Global City 81,0.96,9767,2,2,2,1.0,,flat,sector 81,1537.25,1075.0,1,0,0,0,0,relatively new,28,1,18,537.5
9,HCBS Sports Ville,0.29,5587,2,2,1,4.0,,flat,sohna,742.17,519.0,1,0,0,0,0,relatively new,27,1,0,259.5
10,Supertech Araville,1.35,6940,3,3,3,4.0,,flat,sector 79,2781.35,1945.0,1,0,0,0,0,relatively new,0,1,5,648.3333333333334
11,Shree Vardhman Flora,0.7,5384,2,2,3,13.0,,flat,sector 90,1301.2999999999997,909.9999999999999,0,1,0,0,0,New Property,11,1,49,454.99999999999994
12,Sobha City,3.95,16859,4,5,3,25.0,,flat,sector 108,3289.0,2300.0,1,0,0,0,0,,0,1,33,575.0
13,Central Park Flower Valley,2.2,10476,3,3,3,12.0,North-East,flat,sector-33 sohna,2102.1,1470.0,0,0,1,0,0,New Property,28,2,41,490.0
14,Smart World Gems,1.01,9156,2,2,2,4.0,,flat,sector 89,1577.29,1103.0,0,1,0,0,0,New Property,44,1,52,551.5
15,Bestech Altura,1.85,8604,3,4,3+,11.0,North,flat,sector 79,2152.15,1505.0,0,0,1,0,0,New Property,28,1,34,501.6666666666667
16,Smart World Gems,0.86,7796,2,3,3,4.0,,flat,sector 89,1104.1029999999998,772.0999999999999,1,0,0,0,0,relatively new,0,1,52,386.04999999999995
17,Emaar Imperial Gardens,1.85,9135,3,3,3+,0.0,South-West,flat,sector 102,2895.75,2025.0,0,0,1,0,0,relatively new,80,2,41,675.0
18,La Vida by Tata Housing,2.85,12855,3,3,3+,10.0,East,flat,sector 113,2219.2169999999996,1551.8999999999999,0,0,1,0,0,New Property,60,1,41,517.3
19,M3M Golfestate,6.15,18331,3,4,2,20.0,North-East,flat,sector 65,3146.0,2200.0,1,0,0,0,0,,0,1,51,733.3333333333334
20,Central Park Resort Belgravia Residences,6.25,24300,3,5,3+,5.0,South-East,flat,sector 48,4118.4,2880.0,0,0,1,0,0,old property,28,2,35,960.0
21,Apex builders,0.42,5600,2,2,2,4.0,North,flat,sector 37c,1072.5,750.0,1,0,0,0,0,relatively new,24,1,21,375.0
22,Ompee K S Residency,1.6,18836,2,2,2,1.0,,flat,sector 110,849.42,594.0,1,0,0,0,0,relatively new,0,1,53,297.0
23,Bhawna CGHS,3.25,10156,4,4,3+,12.0,,flat,sector 43,4290.0,3000.0,0,0,0,1,0,old property,78,2,33,750.0
24,Sare Green Parc,0.85,6538,3,2,2,20.0,,flat,sector 92,1487.2,1040.0,1,0,0,0,0,,0,1,42,346.6666666666667
