,society,price,bedRoom,bathroom,balcony,floorNum,type,sector,Super_build_area,Carpet_area,Not available,Study Room,Servant Room,Pooja Room,Others,age,luxury_score,furnishing_type,location_score,area_ratio
0,maa bhagwati residency,0.45,2,2,1,4.0,flat,sector 7,1287.0,900.0,1,0,0,0,0,relatively new,15,1,27,450.0
1,Apna Enclave,0.5,2,2,1,1.0,flat,sector 3,929.5,650.0,1,0,0,0,0,old property,21,2,34,325.0
2,Tulsiani Easy in Homes,0.4,2,2,3,12.0,flat,sohna,850.8499999999999,595.0,1,0,0,0,0,New Property,41,1,25,297.5
3,Smart World Orchard,1.47,2,2,2,2.0,flat,sector 61,1716.0,1200.0,0,1,0,0,0,relatively new,69,1,51,600.0
4,Parkwood Westend,0.7,2,2,3,5.0,flat,sector 92,1346.3449999999998,941.5,0,1,0,0,0,Under Construction,0,1,5,470.75
5,The Cocoon,2.0,3,3,3,5.0,flat,dwarka expressway,1501.5,1050.0,1,0,0,0,0,New Property,0,1,16,350.0
6,ATS Triumph,1.8,3,4,3,14.0,flat,sector 104,3274.7,2290.0,1,0,0,0,0,New Property,62,1,52,763.3333333333334
7,Raheja Revanta,4.75,3,3,2,31.0,flat,sector 78,3218.072,2250.4,0,0,1,0,0,relatively new,69,1,33,750.1333333333333
8,Signature Global City 81,0.96,2,2,2,1.0,flat,sector 81,1537.25,1075.0,1,0,0,0,0,relatively new,28,1,18,537.5
9,HCBS Sports Ville,0.29,2,2,1,4.0,flat,sohna,742.17,519.0,1,0,0,0,0,relatively new,27,1,0,259.5
10,Supertech Araville,1.35,3,3,3,4.0,flat,sector 79,2781.35,1945.0,1,0,0,0,0,relatively new,0,1,5,648.3333333333334
11,Shree Vardhman Flora,0.7,2,2,3,13.0,flat,sector 90,1301.2999999999995,910.0,0,1,0,0,0,New Property,11,1,49,455.0
12,Sobha City,3.95,4,5,3,25.0,flat,sector 108,3289.0,2300.0,1,0,0,0,0,relatively new,0,1,33,575.0
13,Central Park Flower Valley,2.2,3,3,3,12.0,flat,sector-33 sohna,2102.1,1470.0,0,0,1,0,0,New Property,28,2,41,490.0
14,Smart World Gems,1.01,2,2,2,4.0,flat,sector 89,1577.29,1103.0,0,1,0,0,0,New Property,44,1,52,551.5
15,Bestech Altura,1.85,3,4,3+,11.0,flat,sector 79,2152.15,1505.0,0,0,1,0,0,New Property,28,1,34,501.6666666666667
16,Smart World Gems,0.86,2,3,3,4.0,flat,sector 89,1104.1029999999998,772.0999999999999,1,0,0,0,0,relatively new,0,1,52,386.05
17,Emaar Imperial Gardens,1.85,3,3,3+,0.0,flat,sector 102,2895.75,2025.0,0,0,1,0,0,relatively new,80,2,41,675.0
18,La Vida by Tata Housing,2.85,3,3,3+,10.0,flat,sector 113,2219.217,1551.9,0,0,1,0,0,New Property,60,1,41,517.3
