,society,bedRoom,bathroom,balcony,type,sector,Super_build_area,Carpet_area,Study Room,Servant Room,Pooja Room,age,luxury_score,furnishing_type,location_score,area_ratio,price
0,maa bhagwati residency,2,2,1,flat,sector 7,1287.0,900.0,0,0,0,relatively new,low,1,27,450.0,0.45
1,Apna Enclave,2,2,1,flat,sector 3,929.5,650.0,0,0,0,old property,low,2,34,325.0,0.5
2,Tulsiani Easy in Homes,2,2,3,flat,sohna,850.8499999999999,595.0,0,0,0,New Property,low,1,25,297.5,0.4
3,Smart World Orchard,2,2,2,flat,sector 61,1716.0,1200.0,1,0,0,relatively new,medium,1,51,600.0,1.47
4,Parkwood Westend,2,2,3,flat,sector 92,1346.3449999999998,941.5,1,0,0,Under Construction,low,1,5,470.75,0.7
5,The Cocoon,3,3,3,flat,dwarka expressway,1501.5,1050.0,0,0,0,New Property,low,1,16,350.0,2.0
6,ATS Triumph,3,4,3,flat,sector 104,3274.7,2290.0,0,0,0,New Property,medium,1,52,763.3333333333334,1.8
7,Raheja Revanta,3,3,2,flat,sector 78,3218.072,2250.4,0,1,0,relatively new,medium,1,33,750.1333333333333,4.75
8,Signature Global City 81,2,2,2,flat,sector 81,1537.25,1075.0,0,0,0,relatively new,low,1,18,537.5,0.96
9,HCBS Sports Ville,2,2,1,flat,sohna,742.17,519.0,0,0,0,relatively new,low,1,0,259.5,0.29
10,Supertech Araville,3,3,3,flat,sector 79,2781.35,1945.0,0,0,0,relatively new,low,1,5,648.3333333333334,1.35
11,Shree Vardhman Flora,2,2,3,flat,sector 90,1301.2999999999995,910.0,1,0,0,New Property,low,1,49,455.0,0.7
12,Sobha City,4,5,3,flat,sector 108,3289.0,2300.0,0,0,0,relatively new,low,1,33,575.0,3.95
13,Central Park Flower Valley,3,3,3,flat,sector-33 sohna,2102.1,1470.0,0,1,0,New Property,low,2,41,490.0,2.2
14,Smart World Gems,2,2,2,flat,sector 89,1577.29,1103.0,1,0,0,New Property,low,1,52,551.5,1.01
15,Bestech Altura,3,4,3+,flat,sector 79,2152.15,1505.0,0,1,0,New Property,low,1,34,501.6666666666667,1.85
16,Smart World Gems,2,3,3,flat,sector 89,1104.1029999999998,772.0999999999999,0,0,0,relatively new,low,1,52,386.05,0.86
17,Emaar Imperial Gardens,3,3,3+,flat,sector 102,2895.75,2025.0,0,1,0,relatively new,medium,2,41,675.0,1.85
